First Name,Last Name,Title,Phone,Mobile,Email,Account Name
Lavender,Briggs,CEO,01234555670,07777888979,hugo@marketcorp.com,MarketCorp
Alfred,Voules,Vehicle Fleet Supervisor,01234555670,07777888979,alfred@marketcorp.com,MarketCorp
Monty,Bodkin,VP of Business Development,01234555671,07777888980,monty@marketcorp.com,MarketCorp
Hugo,Carmody,CLO,01234555672,07777888981,hugo@marketcorp.com,MarketCorp
Angus,McAllister,Gardener,01234555666,07777888986,angus.mcallister@addington.co.uk,"Addington, Inc."
Carole,White,VP Sales,(415) 555-1212,07777888990,carole.white@addington.co.uk,"Addington, Inc."
Freddie,Threepwood,Freeloader,01234555660,07777888996,fred@blandings.co.uk,Fred's Farm
Marc,Benioff,Executive Officer,(415) 901-7000,07777888995,info@salesforce.com,salesforce.com
Leanne,Tomlin,VP Customer Support,(212) 555-5555,07777888994,ltomlin@acme.com,Acme
Howard,Jones,Buyer,(212) 555-5555,07777888993,hjones@acme.com,Acme
Edward,Stamos,President and CEO,(212) 555-5555,07777888992,estamos@acme.com,Acme
Jon,Amos,Sales Manager,(905) 555-1212,07777888991,jamos@gmedia.com,Global Media
Geoff,Minor,President,(415) 555-1212,07777888999,gminor@gmedia.com,Global Media
Eve,Halliday,Librarian,01234555670,07777888982,eve@western.lib,Western Library Outsourcing
Gregory,Parslow-Parslow,Business Development Administrator,01234555669,07777888978,greg@biglife.com,BigLife Inc.
Fred,Tilbury,Senior VP,01234555667,07777888985,fred@biglife.com,BigLife Inc.
Percy,Pilbeam,Private Investigator,01234555668,07777888984,percival.pilbeam@argus-inquiry.com,Argus Inquiry Agency
Felicity,Twemlow,Catering Director,01234555669,07777888978,felicity@marketcorp.com,Psmith Services
Gerald,Anstruther-Vail,CEO,01234555669,07777888978,gerald.anstruther@psmith.co.uk,Psmith Services
Rupert,Baxter,Personal Secretary,01234555669,07777888983,rupert.baxter@psmith.co.uk,Psmith Services
George,Wellbeloved,Pig Keeper,01234555664,07777888988,wellbeloved@blandings.co.uk,Blandings Estate Holdings
Clarence,Threepwood,Lord,01234555661,07777888997,lord.emsworth@blandings.co.uk,Blandings Estate Holdings
Sebastian,Beach,Butler,01234555663,07777888989,beach@blandings.co.uk,Blandings Estate Holdings
Constance,Keeble,Events Organizer,01234555662,07777888998,constance@blandings.co.uk,Blandings Estate Holdings
Monica,Simmons,Pig Keeper,01234555665,07777888987,joe@aco.co.uk,A Co.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
